195,5
33,171
68,35
158,180
20,47
81,94
184,160
26,23
11,136
21,193
67,188
79,1
113,110
49,178
173,24
96,80
31,185
5,24
161,176
80,13
20,74
19,80
28,18
146,59
185,77
186,79
102,131
2,166
188,184
109,108
101,139
19,84
13,65
43,68
164,140
110,45
104,155
21,48
35,151
75,44
173,129
56,121
115,98
151,128
190,16
161,20
174,113
135,171
23,107
99,88
137,122
26,171
160,24
102,173
76,22
189,44
55,45
123,2
37,153
34,180
155,60
87,138
12,175
57,171
27,97
72,112
4,187
76,80
158,50
122,132
51,100
97,104
58,149
190,154
198,125
150,104
98,55
22,12
115,28
123,18
48,3
92,23
102,198
48,191
45,102
153,78
21,12
130,53
197,53
133,119
182,81
154,50
139,72
146,94
49,121
105,89
4,57
139,67
113,83
138,70
160,23
184,92
191,164
155,86
128,190
84,42
122,43
159,150
168,57
69,99
194,169
72,147
90,159
83,163
40,73
122,166
31,76
121,156
133,30
46,112
28,129
180,191
130,130
30,43
98,110
57,88
31,77
62,194
15,92
164,31
188,41
110,58
94,108
46,90
163,55
131,19
48,36
151,72
60,140
64,36
39,66
102,167
114,169
179,80
90,38
164,4
84,123
28,97
189,118
6,145
174,12
144,78
63,51
45,67
174,104
78,116
89,163
173,199
27,55
18,132
10,70
83,163
97,125
85,90
150,172
60,190
175,127
36,187
194,37
36,113
139,131
165,70
89,158
159,127
111,151
11,65
141,25
48,66
129,67
24,85
80,48
79,183
117,11
58,191
182,169
133,106
95,160
167,27
168,51
120,58
51,4
153,32
12,105
63,105
59,74
19,185
125,65
122,142
69,42
42,175
16,30
74,49
187,42
60,112
148,154
29,15
39,28
93,44
122,80
147,6
82,189
136,36
158,39
159,93
52,58
186,113
187,84
72,81
11,161
49,171
176,78
73,136
83,94
95,20
132,17
71,57
97,116
81,127
86,190
67,60
134,6
50,132
115,81
141,182
19,73
156,50
124,137
168,45
140,42
161,160
98,20
122,121
166,170
76,86
84,122
70,55
20,76
176,196
18,108
50,15
101,21
134,63
189,179
113,12
132,16
185,75
88,2
